ActivityID,certification_name,slots_offered,volunteers_signed_up
779,Staff,1,0
779,Trail Guide,3,1
779,Trainee,2,0
781,Staff,1,0
781,Trail Guide,6,5
781,Trainee,2,0
782,Staff,1,0
782,Trail Guide,3,1
782,Trainee,2,0
783,Land Steward,3,1
783,Staff,1,0
783,Trail Guide,3,0
783,Trainee,3,0
787,Trail Guide,3,1
787,Trainee,2,0
788,Staff,1,0
788,Trail Guide,3,1
788,Trainee,2,1
789,Staff,1,0
789,Trail Guide,3,1
789,Trainee,2,0
790,Staff,1,0
790,Trail Guide,3,2
790,Trainee,2,1
791,Staff,1,0
791,Trail Guide,3,3
791,Trainee,2,1
792,Staff,1,0
792,Trail Guide,3,3
792,Trainee,2,2
793,Staff,1,0
793,Trail Guide,3,1
793,Trainee,2,0
794,Staff,1,0
794,Trail Guide,3,3
794,Trainee,2,0
797,Land Steward,3,2
797,Staff,1,0
797,Trail Guide,3,1
797,Trainee,3,0
800,Land Steward,3,0
800,Staff,1,0
800,Trail Guide,3,1
800,Trainee,3,1
801,Land Steward,3,1
801,Staff,1,1
801,Trail Guide,3,0
801,Trainee,3,1
804,Land Steward,3,1
804,Staff,1,0
804,Trail Guide,3,2
804,Trainee,3,0
806,Staff,1,0
806,Trail Guide,3,2
806,Trainee,2,0
807,Staff,1,0
807,Trail Guide,3,3
807,Trainee,2,0
809,Staff,1,1
809,Trail Guide,3,2
809,Trainee,2,0
810,Staff,1,0
810,Trail Guide,3,2
810,Trainee,2,0
811,Staff,1,0
811,Trail Guide,3,3
811,Trainee,2,1
813,Land Steward,3,3
813,Trail Guide,3,2
813,Trainee,3,0
814,Staff,1,0
814,Trail Guide,4,3
814,Trainee,2,1
815,Staff,1,0
815,Trail Guide,3,1
815,Trainee,2,0
816,Staff,1,0
816,Trail Guide,3,3
816,Trainee,2,0
817,Staff,1,0
817,Trail Guide,3,3
817,Trainee,2,0
818,Staff,1,0
818,Trail Guide,3,1
818,Trainee,2,0
819,Trail Guide,3,3
819,Trainee,2,1
821,Staff,1,0
821,Trail Guide,3,3
821,Trail Guide,1,1
821,Trainee,2,2
822,Staff,1,0
822,Trail Guide,3,1
822,Trainee,2,0
823,Staff,1,0
823,Trail Guide,3,3
823,Trainee,2,0
824,Staff,1,0
824,Trail Guide,3,1
824,Trainee,2,0
825,Staff,1,0
825,Trail Guide,3,2
825,Trainee,2,0
829,Staff,1,0
829,Trail Guide,1,1
829,Trainee,2,0
831,Staff,1,0
831,Trail Guide,3,3
831,Trainee,2,0
833,Staff,1,0
833,Trail Guide,3,3
833,Trainee,2,0
834,Staff,1,0
834,Trail Guide,3,3
834,Trainee,2,0
835,Staff,1,0
835,Trail Guide,3,2
835,Trainee,2,0
836,Staff,1,0
836,Trail Guide,3,1
836,Trainee,2,0
837,Staff,1,0
837,Trail Guide,4,3
837,Trainee,2,0
838,Staff,1,0
838,Trail Guide,3,2
838,Trainee,2,0
840,Staff,1,0
840,Trail Guide,3,2
840,Trainee,2,0
841,Staff,1,0
841,Trail Guide,3,3
841,Trainee,2,0
842,Staff,1,0
842,Trail Guide,1,0
842,Trainee,2,0
843,Staff,1,0
843,Trail Guide,3,3
843,Trainee,2,0
845,Staff,1,0
845,Trail Guide,3,2
845,Trainee,2,0
846,Staff,1,0
846,Trail Guide,3,0
846,Trainee,2,0
857,Staff,1,0
857,Trail Guide,3,3
857,Trainee,2,0
858,Staff,1,0
858,Trail Guide,3,1
858,Trainee,2,0
860,Staff,1,0
860,Trail Guide,3,2
860,Trainee,2,0
861,Staff,1,0
861,Trail Guide,3,2
861,Trainee,2,0
863,Staff,1,0
863,Trail Guide,4,4
863,Trainee,2,0
864,Staff,1,0
864,Trail Guide,3,3
864,Trainee,2,2
866,Staff,1,0
866,Trail Guide,3,1
866,Trainee,2,0
867,Staff,1,0
867,Trail Guide,3,1
867,Trainee,2,0
868,Staff,1,0
868,Trail Guide,3,1
868,Trainee,2,0
869,Staff,1,0
869,Trail Guide,3,2
869,Trainee,2,0
870,Staff,1,0
870,Trail Guide,3,0
870,Trainee,2,0
871,Staff,1,0
871,Trail Guide,3,2
871,Trainee,2,1
872,Staff,1,0
872,Trail Guide,3,3
872,Trainee,2,0
873,Staff,1,0
873,Trail Guide,3,1
873,Trainee,2,1
879,Staff,1,0
879,Trail Guide,3,1
879,Trainee,2,0
880,Staff,1,0
880,Trail Guide,3,1
880,Trainee,2,0
882,Staff,1,0
882,Trail Guide,3,1
882,Trainee,2,0
883,Staff,1,0
883,Trail Guide,3,3
883,Trainee,2,0
884,Staff,1,0
884,Trail Guide,4,2
884,Trainee,4,0
885,Staff,1,0
885,Trail Guide,3,3
885,Trainee,2,0
886,Staff,1,0
886,Trail Guide,3,2
886,Trainee,2,0
887,Staff,1,0
887,Trail Guide,3,1
887,Trainee,2,0
888,Staff,1,0
888,Trail Guide,3,3
888,Trainee,2,0
889,Staff,1,0
889,Trail Guide,3,2
889,Trainee,2,0
890,Staff,1,0
890,Trail Guide,3,2
890,Trainee,2,0
891,Staff,1,1
891,Trail Guide,3,0
891,Trainee,2,0
906,Land Steward,2,0
906,Trail Guide,2,1
907,Staff,1,0
907,Trail Guide,3,1
907,Trainee,2,0
908,Staff,1,0
908,Trail Guide,4,4
908,Trainee,2,0
910,Staff,1,0
910,Trail Guide,3,3
910,Trainee,2,1
911,Staff,1,0
911,Trail Guide,3,3
911,Trainee,2,0
912,Staff,1,0
912,Trail Guide,3,2
912,Trainee,2,0
913,Staff,1,0
913,Trail Guide,3,2
